testId;algo;nodeId;runtimeMillis
60105_LStarKtcGen;LStarKtcAlgorithm;8;356
60105_LStarKtcGen;LStarKtcAlgorithm;10;1004
60105_LStarKtcGen;LStarKtcAlgorithm;11;615
60105_LStarKtcGen;LStarKtcAlgorithm;13;562
60105_LStarKtcGen;LStarKtcAlgorithm;14;280
60105_LStarKtcGen;LStarKtcAlgorithm;15;1015
60105_LStarKtcGen;LStarKtcAlgorithm;16;566
60105_LStarKtcGen;LStarKtcAlgorithm;17;653
60105_LStarKtcGen;LStarKtcAlgorithm;18;103
60105_LStarKtcGen;LStarKtcAlgorithm;19;643
60105_LStarKtcGen;LStarKtcAlgorithm;20;220
60105_LStarKtcGen;LStarKtcAlgorithm;22;653
60105_LStarKtcGen;LStarKtcAlgorithm;23;579
60105_LStarKtcGen;LStarKtcAlgorithm;24;1078
60105_LStarKtcGen;LStarKtcAlgorithm;25;358
60105_LStarKtcGen;LStarKtcAlgorithm;26;360
60105_LStarKtcGen;LStarKtcAlgorithm;27;1131
60105_LStarKtcGen;LStarKtcAlgorithm;28;51
60105_LStarKtcGen;LStarKtcAlgorithm;31;115
60105_LStarKtcGen;LStarKtcAlgorithm;32;390
60105_LStarKtcGen;LStarKtcAlgorithm;33;946
60107_LStarKtcGen;LStarKtcAlgorithm;1;368
60107_LStarKtcGen;LStarKtcAlgorithm;2;266
60107_LStarKtcGen;LStarKtcAlgorithm;3;994
60107_LStarKtcGen;LStarKtcAlgorithm;4;277
60107_LStarKtcGen;LStarKtcAlgorithm;6;663
60107_LStarKtcGen;LStarKtcAlgorithm;7;178
60107_LStarKtcGen;LStarKtcAlgorithm;8;309
60107_LStarKtcGen;LStarKtcAlgorithm;10;1171
60107_LStarKtcGen;LStarKtcAlgorithm;11;657
60107_LStarKtcGen;LStarKtcAlgorithm;13;1134
60107_LStarKtcGen;LStarKtcAlgorithm;14;209
60107_LStarKtcGen;LStarKtcAlgorithm;15;688
60107_LStarKtcGen;LStarKtcAlgorithm;16;1024
