testId;algo;nodeId;runtimeMillis
59822_LmstGen;LmstAlgorithm;1;624
59822_LmstGen;LmstAlgorithm;2;159
59822_LmstGen;LmstAlgorithm;3;437
59822_LmstGen;LmstAlgorithm;4;842
59822_LmstGen;LmstAlgorithm;6;795
59822_LmstGen;LmstAlgorithm;7;238
59822_LmstGen;LmstAlgorithm;8;911
59822_LmstGen;LmstAlgorithm;10;1116
59822_LmstGen;LmstAlgorithm;11;58
59822_LmstGen;LmstAlgorithm;13;190
59822_LmstGen;LmstAlgorithm;14;647
59822_LmstGen;LmstAlgorithm;15;754
59822_LmstGen;LmstAlgorithm;16;216
59822_LmstGen;LmstAlgorithm;17;743
59822_LmstGen;LmstAlgorithm;18;1137
59822_LmstGen;LmstAlgorithm;19;410
59822_LmstGen;LmstAlgorithm;20;386
59822_LmstGen;LmstAlgorithm;22;655
59822_LmstGen;LmstAlgorithm;23;1051
59822_LmstGen;LmstAlgorithm;24;359
59822_LmstGen;LmstAlgorithm;25;337
59822_LmstGen;LmstAlgorithm;26;56
59822_LmstGen;LmstAlgorithm;27;217
59822_LmstGen;LmstAlgorithm;28;212
59822_LmstGen;LmstAlgorithm;31;910
59822_LmstGen;LmstAlgorithm;32;210
59822_LmstGen;LmstAlgorithm;33;86
59823_ThresholdInactivation;ThresholdInactivationAlgorithm;1;4
59823_ThresholdInactivation;ThresholdInactivationAlgorithm;2;5
59823_ThresholdInactivation;ThresholdInactivationAlgorithm;3;11
59823_ThresholdInactivation;ThresholdInactivationAlgorithm;4;5
59823_ThresholdInactivation;ThresholdInactivationAlgorithm;6;6
59823_ThresholdInactivation;ThresholdInactivationAlgorithm;7;5
59823_ThresholdInactivation;ThresholdInactivationAlgorithm;8;6
59823_ThresholdInactivation;ThresholdInactivationAlgorithm;10;6
59823_ThresholdInactivation;ThresholdInactivationAlgorithm;11;7
59823_ThresholdInactivation;ThresholdInactivationAlgorithm;13;7
59823_ThresholdInactivation;ThresholdInactivationAlgorithm;14;5
59823_ThresholdInactivation;ThresholdInactivationAlgorithm;15;8
59823_ThresholdInactivation;ThresholdInactivationAlgorithm;16;6
59823_ThresholdInactivation;ThresholdInactivationAlgorithm;17;5
59823_ThresholdInactivation;ThresholdInactivationAlgorithm;18;8
59823_ThresholdInactivation;ThresholdInactivationAlgorithm;19;9
59823_ThresholdInactivation;ThresholdInactivationAlgorithm;20;9
59823_ThresholdInactivation;ThresholdInactivationAlgorithm;22;7
59823_ThresholdInactivation;ThresholdInactivationAlgorithm;23;8
59823_ThresholdInactivation;ThresholdInactivationAlgorithm;24;8
59823_ThresholdInactivation;ThresholdInactivationAlgorithm;25;7
59823_ThresholdInactivation;ThresholdInactivationAlgorithm;26;7
59823_ThresholdInactivation;ThresholdInactivationAlgorithm;27;7
59823_ThresholdInactivation;ThresholdInactivationAlgorithm;28;8
59823_ThresholdInactivation;ThresholdInactivationAlgorithm;31;9
59823_ThresholdInactivation;ThresholdInactivationAlgorithm;32;7
59823_ThresholdInactivation;ThresholdInactivationAlgorithm;33;6
59824_KtcMan;aktc;1;21
59824_KtcMan;aktc;2;48
59824_KtcMan;aktc;3;424
59824_KtcMan;aktc;4;53
59824_KtcMan;aktc;6;113
59824_KtcMan;aktc;7;23
59824_KtcMan;aktc;8;60
59824_KtcMan;aktc;10;97
59824_KtcMan;aktc;11;64
59824_KtcMan;aktc;13;186
59824_KtcMan;aktc;14;58
59824_KtcMan;aktc;15;245
59824_KtcMan;aktc;16;90
59824_KtcMan;aktc;17;68
59824_KtcMan;aktc;18;140
59824_KtcMan;aktc;19;177
59824_KtcMan;aktc;20;406
59824_KtcMan;aktc;22;130
59824_KtcMan;aktc;23;444
59824_KtcMan;aktc;24;180
59824_KtcMan;aktc;25;170
59824_KtcMan;aktc;26;237
59824_KtcMan;aktc;27;55
59824_KtcMan;aktc;28;201
59824_KtcMan;aktc;31;111
59824_KtcMan;aktc;32;101
59824_KtcMan;aktc;33;108
59825_LStarKtcMan;lktc;1;49
59825_LStarKtcMan;lktc;2;54
59825_LStarKtcMan;lktc;3;1194
59825_LStarKtcMan;lktc;4;57
59825_LStarKtcMan;lktc;6;162
59825_LStarKtcMan;lktc;7;33
