nodeCount;linkCount;worldSizeInMeters;isConnected;seed;avgOutdegree;avgIndegree;avgDegree;avgPairwiseHops;maxPairwiseHops;avgHopCountToBasestation;medianHopCountToBasestation;hopCountToBasestationMax;transmissionRangeInMeters
101.0;4048.0;300.0;1.0;3.0;40.07920792079208;40.07920792079208;80.15841584158416;3.435247524752475;3.0;1.4257425742574257;1.0;2.0;130.92145654980484
101.0;4260.0;300.0;1.0;4.0;42.17821782178218;42.17821782178218;84.35643564356435;3.3457425742574256;4.0;1.3366336633663367;1.0;2.0;130.92145654980484
101.0;4066.0;300.0;1.0;5.0;40.257425742574256;40.257425742574256;80.51485148514851;3.432871287128713;4.0;1.396039603960396;1.0;2.0;130.92145654980484
101.0;4092.0;300.0;1.0;6.0;40.51485148514851;40.51485148514851;81.02970297029702;3.414257425742574;4.0;1.396039603960396;1.0;2.0;130.92145654980484
101.0;3952.0;300.0;1.0;7.0;39.12871287128713;39.12871287128713;78.25742574257426;3.535049504950495;4.0;1.4455445544554455;1.0;2.0;130.92145654980484
101.0;4228.0;300.0;1.0;8.0;41.86138613861386;41.86138613861386;83.72277227722772;3.356039603960396;3.0;1.4257425742574257;1.0;2.0;130.92145654980484
101.0;4236.0;300.0;1.0;9.0;41.94059405940594;41.94059405940594;83.88118811881188;3.3607920792079207;4.0;1.3168316831683167;1.0;2.0;130.92145654980484
101.0;4174.0;300.0;1.0;10.0;41.32673267326733;41.32673267326733;82.65346534653466;3.3607920792079207;3.0;1.316831683168317;1.0;2.0;130.92145654980484
101.0;4016.0;300.0;1.0;1.0;39.76237623762376;39.76237623762376;79.52475247524752;3.4495049504950495;4.0;1.3366336633663365;1.0;2.0;130.92145654980484
101.0;4074.0;300.0;1.0;2.0;40.336633663366335;40.336633663366335;80.67326732673267;3.428910891089109;4.0;1.3465346534653464;1.0;2.0;130.92145654980484
101.0;4048.0;300.0;1.0;3.0;40.07920792079208;40.07920792079208;80.15841584158416;3.435247524752475;3.0;1.4257425742574257;1.0;2.0;130.92145654980484
101.0;4260.0;300.0;1.0;4.0;42.17821782178218;42.17821782178218;84.35643564356435;3.3457425742574256;4.0;1.3366336633663367;1.0;2.0;130.92145654980484
101.0;4066.0;300.0;1.0;5.0;40.257425742574256;40.257425742574256;80.51485148514851;3.432871287128713;4.0;1.396039603960396;1.0;2.0;130.92145654980484
101.0;4092.0;300.0;1.0;6.0;40.51485148514851;40.51485148514851;81.02970297029702;3.414257425742574;4.0;1.396039603960396;1.0;2.0;130.92145654980484
