uniqueId;worldSize;moteCount;moteCountEmpty;linkCountInitial;densityInitial;densityInitialBucket;tcOperationMode;movementSpeed;('totalSimulationDurationSeconds',);totalTcaDurationSeconds;totalCehDurationSeconds;totalTccDurationSeconds;totalTcaLsm;totalCehLsm;totalAllLsm
63;600;100;3;1156;11.56;10;B;1.4;200.39999999999998;1.455;1.6549999999999998;3.11;79828;19750;99578
64;600;100;2;1192;11.92;10;B;1.4;204.0;1.472;1.7379999999999998;3.21;81598;20184;101782
65;600;100;3;1302;13.02;10;B;1.4;180.6;1.471;1.7790000000000001;3.25;83512;20220;103732
66;600;100;5;1238;12.38;10;B;1.4;207.0;1.5220000000000005;1.858;3.380000000000001;82304;21668;103972
67;600;100;7;1216;12.16;10;B;1.4;186.6;1.531;1.9179999999999997;3.449;85020;20976;105996
68;600;100;3;1220;12.2;10;B;1.4;209.4;1.6059999999999999;1.8139999999999996;3.4199999999999995;84638;20218;104856
69;600;100;3;1276;12.76;10;B;1.4;173.4;1.3769999999999998;1.24;2.617;78934;15850;94784
70;600;100;1;1248;12.48;10;B;1.4;187.20000000000002;1.4760000000000004;1.3519999999999996;2.8280000000000003;84602;14562;99164
71;600;100;0;1162;11.62;10;I;1.4;198.0;0.6530000000000005;3.289999999999999;3.9429999999999996;29660;31087;60747
72;600;100;0;1214;12.14;10;I;1.4;193.8;0.7480000000000004;3.4790000000000005;4.227000000000001;33388;34996;68384
73;600;100;3;1156;11.56;10;I;1.4;195.0;0.9020000000000006;3.8470000000000004;4.7490000000000006;40444;41769;82213
74;600;100;2;1192;11.92;10;I;1.4;213.6;0.9850000000000007;4.737;5.722;43756;44694;88450
75;600;100;3;1302;13.02;10;I;1.4;186.0;0.9940000000000007;5.658;6.652000000000001;43538;44388;87926
76;600;100;5;1238;12.38;10;I;1.4;212.4;1.1420000000000001;5.09;6.232;45748;46802;92550
77;600;100;7;1216;12.16;10;I;1.4;194.4;1.0580000000000005;5.719000000000002;6.777000000000003;44864;45612;90476
78;600;100;3;1220;12.2;10;I;1.4;212.4;0.9900000000000008;4.783000000000002;5.773000000000003;42532;43531;86063
79;600;100;3;1276;12.76;10;I;1.4;175.8;0.6640000000000004;3.169;3.833;28190;30233;58423
80;600;100;1;1248;12.48;10;I;1.4;182.4;0.7500000000000004;4.109000000000001;4.859000000000002;28482;29624;58106
81;300;100;9;4016;40.16;40;B;0.0;279.6;5.303000000000001;2.042;7.345000000000001;226306;4016;230322
82;300;100;9;4074;40.74;40;B;0.0;257.4;5.287999999999998;2.049;7.336999999999998;228016;4074;232090
83;300;100;7;4048;40.48;40;B;0.0;225.0;5.116;1.9309999999999998;7.047;224706;4048;228754
84;300;100;7;4260;42.6;40;B;0.0;222.0;5.644000000000005;2.0989999999999993;7.743000000000004;235394;4260;239654
85;300;100;12;4066;40.66;40;B;0.0;239.4;5.249999999999998;2.1310000000000002;7.3809999999999985;222160;4066;226226
86;300;100;11;4092;40.92;40;B;0.0;233.4;5.7299999999999995;2.0610000000000004;7.791;228022;4092;232114
87;300;100;7;3952;39.52;30;B;0.0;257.4;5.319000000000002;2.003;7.322000000000002;221258;3952;225210
88;300;100;10;4228;42.28;40;B;0.0;238.20000000000002;5.761;2.1169999999999995;7.878;232870;4228;237098
89;300;100;10;4236;42.36;40;B;0.0;244.8;5.409;2.1139999999999994;7.523;234496;4236;238732
90;300;100;11;4174;41.74;40;B;0.0;224.4;5.190000000000001;1.9729999999999994;7.163;225732;4174;229906
91;300;100;9;4016;40.16;40;I;0.0;466.2;0.229;180.66600000000003;180.89500000000004;4046;4136;8182
92;300;100;9;4074;40.74;40;I;0.0;453.59999999999997;0.30400000000000005;201.53700000000003;201.84100000000004;4106;4220;8326
93;300;100;7;4048;40.48;40;I;0.0;396.0;0.257;179.77300000000005;180.03000000000006;4070;4162;8232
94;300;100;7;4260;42.6;40;I;0.0;448.2;0.259;217.521;217.77999999999997;4282;4388;8670
95;300;100;12;4066;40.66;40;I;0.0;413.4;0.24000000000000002;177.143;177.383;4112;4228;8340
96;300;100;11;4092;40.92;40;I;0.0;432.6;0.25;210.98800000000006;211.23800000000006;4122;4264;8386
97;300;100;7;3952;39.52;30;I;0.0;406.2;0.253;172.595;172.84799999999998;3978;4070;8048
98;300;100;10;4228;42.28;40;I;0.0;465.59999999999997;0.341;239.24300000000002;239.58400000000003;4262;4398;8660
99;300;100;10;4236;42.36;40;I;0.0;470.4;0.267;222.41400000000004;222.68100000000004;4260;4376;8636
100;300;100;11;4174;41.74;40;I;0.0;412.2;0.29000000000000004;196.5929999999999;196.8829999999999;4202;4318;8520
101;300;100;2;4016;40.16;40;B;1.4;237.6;8.102000000000002;12.312999999999999;20.415;283404;37028;320432
102;300;100;1;4074;40.74;40;B;1.4;231.0;7.629000000000003;11.556999999999997;19.186;276828;39224;316052
103;300;100;2;4048;40.48;40;B;1.4;247.79999999999998;7.503000000000001;12.081999999999995;19.584999999999997;273240;39836;313076
104;300;100;4;4260;42.6;40;B;1.4;315.0;8.197999999999997;20.090999999999994;28.28899999999999;285298;52460;337758
105;300;100;2;4066;40.66;40;B;1.4;312.0;7.825000000000001;19.605999999999998;27.430999999999997;287658;52654;340312
106;300;100;3;4092;40.92;40;B;1.4;303.0;7.6960000000000015;19.635;27.331000000000003;281336;54694;336030
107;300;100;8;3952;39.52;30;B;1.4;281.40000000000003;7.303000000000002;18.146000000000004;25.449000000000005;270842;50578;321420
108;300;100;5;4228;42.28;40;B;1.4;256.8;7.828999999999999;14.241999999999994;22.07099999999999;282730;42664;325394
109;300;100;4;4236;42.36;40;B;1.4;258.59999999999997;7.155;12.700999999999997;19.855999999999998;266208;42848;309056
110;300;100;0;4174;41.74;40;B;1.4;217.20000000000002;7.839;10.449000000000002;18.288000000000004;280928;30556;311484
111;300;100;2;4016;40.16;40;I;1.4;385.2;2.176;162.89599999999996;165.07199999999995;59384;60077;119461
112;300;100;1;4074;40.74;40;I;1.4;379.20000000000005;2.1;155.36299999999997;157.46299999999997;60116;60973;121089
113;300;100;2;4048;40.48;40;I;1.4;356.40000000000003;2.111999999999999;133.303;135.415;64756;65413;130169
114;300;100;4;4260;42.6;40;I;1.4;514.2;3.350000000000001;223.65500000000003;227.00500000000002;93110;93248;186358
115;300;100;2;4066;40.66;40;I;1.4;508.20000000000005;3.2779999999999996;224.85299999999998;228.13099999999997;93932;94006;187938
116;300;100;3;4092;40.92;40;I;1.4;485.4;3.3899999999999997;199.983;203.373;96042;96148;192190
117;300;100;8;3952;39.52;30;I;1.4;471.6;3.101999999999999;191.15299999999993;194.25499999999994;90388;90634;181022
118;300;100;5;4228;42.28;40;I;1.4;413.4;2.5609999999999995;174.31000000000003;176.87100000000004;70750;71502;142252
119;300;100;4;4236;42.36;40;I;1.4;377.4;2.2949999999999995;141.85999999999996;144.15499999999994;68758;69541;138299
120;300;100;0;4174;41.74;40;I;1.4;361.8;1.8089999999999997;159.59700000000004;161.40600000000003;49730;50152;99882
121;900;250;0;3498;13.992;10;B;0.0;1180.8;5.817000000000002;1.784;7.601000000000002;209880;3498;213378
122;900;250;0;3922;15.688;10;B;0.0;1183.8;6.899000000000003;2.0570000000000004;8.956000000000003;235320;3922;239242
123;900;250;0;3844;15.376;10;B;0.0;1211.4;6.764000000000002;2.07;8.834000000000001;230640;3844;234484
124;900;250;2;3704;14.816;10;B;0.0;1212.0;6.3720000000000026;1.897;8.269000000000002;222056;3704;225760
125;900;250;2;3514;14.056;10;B;0.0;1145.4;6.022;1.899;7.921;209912;3514;213426
126;900;250;1;3556;14.224;10;B;0.0;1156.8000000000002;6.104000000000004;1.8649999999999998;7.969000000000003;213258;3556;216814
127;900;250;2;3506;14.024;10;B;0.0;1173.0;6.045000000000003;1.9289999999999998;7.974000000000002;209928;3506;213434
128;900;250;3;3550;14.2;10;B;0.0;1200.0;6.368000000000003;1.945;8.313000000000002;212416;3550;215966
129;900;250;3;3736;14.944;10;B;0.0;1174.2;6.692000000000002;2.184999999999999;8.877;223870;3736;227606
130;900;250;3;3578;14.312;10;B;0.0;1168.1999999999998;6.152000000000003;1.8860000000000001;8.038000000000004;214388;3578;217966
131;900;250;0;3498;13.992;10;I;0.0;1180.2;0.225;19.633;19.858;3498;3498;6996
132;900;250;0;3922;15.688;10;I;0.0;1225.8;0.249;32.21100000000001;32.460000000000015;3922;3922;7844
133;900;250;0;3844;15.376;10;I;0.0;1195.8;0.24200000000000002;27.765;28.007;3844;3844;7688
134;900;250;2;3704;14.816;10;I;0.0;1200.0;0.255;22.105;22.36;3708;3718;7426
135;900;250;2;3514;14.056;10;I;0.0;1191.0;0.232;19.744999999999997;19.976999999999997;3524;3538;7062
136;900;250;1;3556;14.224;10;I;0.0;1173.0;0.29000000000000004;20.665000000000003;20.955000000000002;3558;3570;7128
137;900;250;2;3506;14.024;10;I;0.0;1181.4;0.231;19.357000000000006;19.588000000000008;3518;3524;7042
138;900;250;3;3550;14.2;10;I;0.0;1222.2;0.23700000000000002;21.845;22.081999999999997;3560;3586;7146
139;900;250;3;3736;14.944;10;I;0.0;1181.4;0.257;24.895;25.152;3742;3760;7502
140;900;250;3;3578;14.312;10;I;0.0;1200.6000000000001;0.229;21.093000000000004;21.322000000000003;3590;3610;7200
141;900;250;0;3498;13.992;10;B;1.4;735.6;8.263000000000003;5.930999999999999;14.194000000000003;246246;62254;308500
142;900;250;0;3922;15.688;10;B;1.4;717.6;8.459000000000001;3.6719999999999997;12.131;241668;45538;287206
143;900;250;0;3844;15.376;10;B;1.4;731.4;8.487000000000002;5.3900000000000015;13.877000000000002;246002;61024;307026
144;900;250;0;3704;14.816;10;B;1.4;829.8;8.421999999999999;6.4559999999999995;14.877999999999998;248396;67432;315828
145;900;250;0;3514;14.056;10;B;1.4;861.0;8.471000000000002;6.102000000000002;14.573000000000004;242530;64736;307266
146;900;250;0;3556;14.224;10;B;1.4;747.6;8.2;6.630999999999999;14.831;247652;67686;315338
147;900;250;0;3506;14.024;10;B;1.4;763.8000000000001;8.182;6.329000000000001;14.511000000000001;247132;64790;311922
148;900;250;0;3550;14.2;10;B;1.4;773.4000000000001;8.912999999999998;6.42;15.332999999999998;249234;64690;313924
149;900;250;0;3736;14.944;10;B;1.4;711.0;8.231;2.9409999999999985;11.171999999999999;242328;34342;276670
150;900;250;0;3578;14.312;10;B;1.4;748.2;8.454;5.582000000000001;14.036000000000001;246616;62582;309198
151;900;250;0;3498;13.992;10;I;1.4;777.6;4.563999999999999;19.496;24.06;121792;125208;247000
152;900;250;0;3922;15.688;10;I;1.4;714.6;2.8749999999999996;12.789000000000005;15.664000000000005;77604;83048;160652
153;900;250;0;3844;15.376;10;I;1.4;754.8;4.14;17.4;21.54;113654;118246;231900
154;900;250;0;3704;14.816;10;I;1.4;859.8;4.692000000000002;19.544000000000008;24.23600000000001;134546;137054;271600
155;900;250;0;3514;14.056;10;I;1.4;787.1999999999999;4.946;20.560000000000006;25.506000000000007;131184;133796;264980
156;900;250;0;3556;14.224;10;I;1.4;773.4000000000001;5.089999999999999;23.473999999999993;28.563999999999993;135378;138166;273544
157;900;250;0;3506;14.024;10;I;1.4;789.0;4.999000000000002;21.136;26.135;131392;133804;265196
158;900;250;0;3550;14.2;10;I;1.4;786.5999999999999;5.305000000000001;20.716000000000005;26.021000000000004;130480;132776;263256
159;900;250;0;3736;14.944;10;I;1.4;700.8;2.138;10.294999999999998;12.432999999999998;57538;61599;119137
160;900;250;0;3578;14.312;10;I;1.4;756.0;4.332000000000001;17.855000000000004;22.187000000000005;117416;121734;239150
161;600;250;0;7678;30.712;30;B;0.0;1278.0;15.606000000000003;4.255000000000001;19.861000000000004;460680;7678;468358
162;600;250;0;7430;29.72;20;B;0.0;1245.0;15.641;3.9670000000000005;19.608;445800;7430;453230
163;600;250;0;7568;30.272;30;B;0.0;1258.8;14.806000000000001;4.138000000000002;18.944000000000003;454080;7568;461648
164;600;250;1;7590;30.36;30;B;0.0;1260.6000000000001;16.124000000000002;3.9700000000000006;20.094;454280;7590;461870
165;600;250;0;7568;30.272;30;B;0.0;1257.0;16.073;4.185000000000001;20.258000000000003;454080;7568;461648
166;600;250;0;7598;30.392;30;B;0.0;1265.4;15.981000000000002;4.053000000000001;20.034000000000002;455880;7598;463478
167;600;250;1;7768;31.072;30;B;0.0;1279.8;16.284;4.3020000000000005;20.586;465840;7768;473608
168;600;250;0;7720;30.88;30;B;0.0;1321.8000000000002;16.469000000000005;4.056;20.525000000000006;463200;7720;470920
169;600;250;0;7828;31.312;30;B;0.0;1280.4;15.816000000000003;4.242;20.058000000000003;469680;7828;477508
170;600;250;0;7868;31.472;30;B;0.0;1276.2;16.767;4.138000000000001;20.905;472080;7868;479948
171;600;250;0;7678;30.712;30;I;0.0;1530.6000000000001;0.48100000000000004;243.98999999999995;244.47099999999995;7678;7678;15356
172;600;250;0;7430;29.72;20;I;0.0;1459.8;0.47400000000000003;235.098;235.572;7430;7430;14860
173;600;250;0;7568;30.272;30;I;0.0;1465.8;0.458;231.80800000000005;232.26600000000005;7568;7568;15136
174;600;250;1;7590;30.36;30;I;0.0;1486.2;0.456;240.681;241.137;7592;7606;15198
175;600;250;0;7568;30.272;30;I;0.0;1489.8;0.459;242.16700000000003;242.62600000000003;7568;7568;15136
176;600;250;0;7598;30.392;30;I;0.0;1515.6000000000001;0.47800000000000004;232.74799999999993;233.22599999999994;7598;7598;15196
177;600;250;1;7768;31.072;30;I;0.0;1552.2;0.48600000000000004;263.43800000000005;263.92400000000004;7772;7778;15550
178;600;250;0;7720;30.88;30;I;0.0;1522.8;0.49600000000000005;259.32499999999993;259.8209999999999;7720;7720;15440
179;600;250;0;7828;31.312;30;I;0.0;1519.2;0.558;271.50899999999996;272.06699999999995;7828;7828;15656
180;600;250;0;7868;31.472;30;I;0.0;1472.3999999999999;0.46900000000000003;223.87700000000004;224.34600000000003;7868;7868;15736
181;600;250;0;7678;30.712;30;B;1.4;776.4;20.430000000000003;20.074;40.504000000000005;508598;108960;617558
182;600;250;0;7430;29.72;20;B;1.4;780.0;20.192000000000007;23.65799999999999;43.849999999999994;508492;117364;625856
183;600;250;0;7568;30.272;30;B;1.4;745.2;20.922;23.5;44.422;521042;116408;637450
184;600;250;0;7590;30.36;30;B;1.4;822.6;19.45200000000001;28.652000000000008;48.10400000000001;511296;131200;642496
185;600;250;0;7568;30.272;30;B;1.4;827.4;22.232;37.635;59.867;525840;130198;656038
186;600;250;0;7598;30.392;30;B;1.4;809.4;21.789;35.894;57.683;512314;131304;643618
187;600;250;0;7768;31.072;30;B;1.4;825.6;19.837;28.091999999999995;47.928999999999995;514112;124046;638158
188;600;250;0;7720;30.88;30;B;1.4;898.8000000000001;20.851999999999997;28.965000000000003;49.817;529764;120874;650638
189;600;250;0;7828;31.312;30;B;1.4;757.1999999999999;19.618999999999996;21.34199999999999;40.960999999999984;507244;112058;619302
190;600;250;0;7868;31.472;30;B;1.4;708.6;21.096;14.247999999999998;35.343999999999994;523630;88070;611700
191;600;250;0;7678;30.712;30;I;1.4;870.6;7.627999999999998;137.841;145.469;177664;181773;359437
192;600;250;0;7430;29.72;20;I;1.4;892.1999999999999;7.814;151.34300000000005;159.15700000000004;188258;192411;380669
193;600;250;0;7568;30.272;30;I;1.4;902.4;7.7749999999999995;163.92;171.695;183580;188629;372209
194;600;250;0;7590;30.36;30;I;1.4;977.4;9.952;195.54799999999997;205.49999999999997;226234;227154;453388
195;600;250;0;7568;30.272;30;I;1.4;1000.2;9.869999999999997;217.03899999999993;226.90899999999993;225030;225962;450992
196;600;250;0;7598;30.392;30;I;1.4;982.8;9.813999999999998;188.914;198.72799999999998;225462;226478;451940
197;600;250;0;7768;31.072;30;I;1.4;961.8000000000001;9.392000000000001;188.54899999999998;197.94099999999997;217772;218592;436364
198;600;250;0;7720;30.88;30;I;1.4;977.4;9.252999999999998;203.69099999999995;212.94399999999993;207294;208677;415971
199;600;250;0;7828;31.312;30;I;1.4;866.4;7.763999999999999;140.45600000000005;148.22000000000006;180822;184830;365652
200;600;250;0;7868;31.472;30;I;1.4;865.2;5.372000000000001;123.45500000000003;128.82700000000003;125100;133410;258510
201;300;250;0;25830;103.32;100;B;0.0;1342.2;91.57400000000003;13.498999999999997;105.07300000000002;1549800;25830;1575630
202;300;250;0;23166;92.664;90;B;0.0;1355.4;76.54599999999998;12.796000000000005;89.34199999999998;1389960;23166;1413126
203;300;250;0;25096;100.384;100;B;0.0;1347.6000000000001;91.87200000000001;12.708000000000002;104.58000000000001;1505760;25096;1530856
204;300;250;1;24844;99.376;90;B;0.0;1371.0;93.546;13.374;106.92;1490438;24844;1515282
205;300;250;1;25208;100.832;100;B;0.0;1341.6;87.40599999999998;14.081;101.48699999999998;1512004;25208;1537212
206;300;250;0;25008;100.032;100;B;0.0;1361.4;88.69599999999998;13.177999999999995;101.87399999999998;1500480;25008;1525488
207;300;250;0;25350;101.4;100;B;0.0;1344.6;93.27100000000003;13.953999999999999;107.22500000000002;1521000;25350;1546350
208;300;250;0;25360;101.44;100;B;0.0;1348.1999999999998;102.26299999999998;13.162000000000003;115.42499999999998;1521600;25360;1546960
209;300;250;0;26032;104.128;100;B;0.0;1417.8;103.351;14.243;117.594;1561920;26032;1587952
210;300;250;1;25232;100.928;100;B;0.0;1378.8;90.53499999999997;14.072999999999999;104.60799999999996;1513616;25232;1538848
